rep_id,timestamp,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az
4,0.0,0.61,0.52,0.47,-0.36,88.11,73.36,9.6,-0.92,0.29,0.0
4,0.025,0.61,0.52,0.47,-0.36,88.11,73.36,9.6,-0.92,0.29,0.0
4,0.05,0.61,0.52,0.47,-0.36,88.1,73.37,9.61,-0.93,0.28,0.01
4,0.075,0.61,0.52,0.47,-0.36,88.11,73.41,9.67,-0.91,0.26,-0.01
4,0.1,0.61,0.52,0.47,-0.36,88.1,73.42,9.67,-0.93,0.25,-0.01
4,0.125,0.61,0.52,0.47,-0.36,88.06,73.42,9.63,-0.93,0.3,0.0
4,0.15,0.61,0.52,0.47,-0.36,88.0,73.43,9.57,-0.93,0.29,-0.0
4,0.175,0.61,0.52,0.47,-0.36,88.0,73.43,9.57,-0.93,0.29,-0.0
4,0.2,0.61,0.52,0.47,-0.36,87.97,73.44,9.55,-0.92,0.27,-0.0
4,0.225,0.61,0.52,0.47,-0.36,87.92,73.44,9.5,-0.93,0.28,-0.01
4,0.25,0.61,0.52,0.47,-0.36,87.83,73.44,9.4,-0.92,0.29,-0.0
4,0.275,0.61,0.52,0.47,-0.36,87.71,73.43,9.28,-0.92,0.28,0.01
4,0.3,0.61,0.52,0.47,-0.36,87.61,73.43,9.18,-0.92,0.27,-0.02
4,0.325,0.61,0.52,0.47,-0.36,87.61,73.43,9.18,-0.92,0.27,-0.02
4,0.35,0.61,0.52,0.47,-0.36,87.52,73.42,9.06,-0.93,0.28,0.01
4,0.375,0.61,0.52,0.47,-0.36,87.42,73.4,8.91,-0.93,0.29,0.0
4,0.4,0.61,0.52,0.47,-0.37,87.38,73.39,8.83,-0.93,0.29,-0.0
4,0.425,0.61,0.52,0.47,-0.37,87.33,73.39,8.79,-0.93,0.27,-0.01
4,0.45,0.61,0.52,0.47,-0.37,87.29,73.4,8.75,-0.91,0.27,-0.02
4,0.475,0.61,0.52,0.47,-0.37,87.29,73.4,8.75,-0.91,0.27,-0.02
4,0.5,0.61,0.52,0.47,-0.37,87.28,73.4,8.71,-0.92,0.28,-0.0
4,0.525,0.61,0.52,0.47,-0.37,87.27,73.4,8.68,-0.94,0.29,-0.0
4,0.55,0.61,0.52,0.47,-0.37,87.28,73.43,8.68,-0.92,0.27,-0.01
4,0.575,0.61,0.52,0.47,-0.37,87.26,73.46,8.68,-0.93,0.27,-0.0
4,0.6,0.61,0.52,0.47,-0.37,87.2,73.47,8.62,-0.93,0.28,-0.0
4,0.625,0.61,0.52,0.47,-0.37,87.2,73.47,8.62,-0.93,0.28,-0.0
4,0.65,0.61,0.52,0.47,-0.37,87.16,73.48,8.57,-0.93,0.28,-0.0
4,0.675,0.61,0.52,0.47,-0.37,87.11,73.49,8.53,-0.93,0.29,0.0
4,0.7,0.61,0.52,0.47,-0.37,87.09,73.49,8.5,-0.92,0.28,0.0
4,0.725,0.61,0.52,0.47,-0.37,87.04,73.49,8.45,-0.93,0.27,-0.01
4,0.75,0.61,0.52,0.47,-0.37,87.0,73.49,8.42,-0.93,0.28,-0.01
4,0.775,0.61,0.52,0.47,-0.37,87.0,73.49,8.42,-0.93,0.28,-0.01
4,0.8,0.61,0.52,0.47,-0.37,86.94,73.49,8.4,-0.93,0.27,-0.01
4,0.825,0.61,0.52,0.47,-0.37,86.88,73.49,8.34,-0.93,0.29,0.01
4,0.85,0.61,0.52,0.47,-0.37,86.86,73.48,8.33,-0.93,0.28,0.0
4,0.875,0.61,0.52,0.47,-0.37,86.81,73.49,8.29,-0.92,0.27,-0.02
4,0.9,0.61,0.52,0.47,-0.37,86.68,73.5,8.19,-0.92,0.26,-0.01
4,0.925,0.61,0.52,0.47,-0.37,86.68,73.5,8.19,-0.92,0.26,-0.01
4,0.95,0.61,0.51,0.47,-0.37,86.49,73.51,8.02,-0.92,0.28,-0.02
4,0.975,0.61,0.51,0.47,-0.37,86.25,73.5,7.82,-0.94,0.27,0.02
4,1.0,0.61,0.51,0.47,-0.37,85.97,73.49,7.53,-0.92,0.28,0.02
4,1.025,0.61,0.51,0.47,-0.37,85.81,73.49,7.39,-0.93,0.27,0.01
4,1.05,0.61,0.51,0.47,-0.37,85.6,73.49,7.2,-0.93,0.26,0.0
4,1.075,0.61,0.51,0.47,-0.37,85.47,73.47,7.03,-0.93,0.29,0.01
4,1.1,0.61,0.51,0.47,-0.37,85.31,73.45,6.84,-0.93,0.29,0.0
4,1.125,0.61,0.51,0.47,-0.37,85.21,73.43,6.77,-0.92,0.28,0.0
4,1.15,0.61,0.51,0.47,-0.37,85.12,73.42,6.71,-0.91,0.29,-0.0
4,1.175,0.61,0.51,0.47,-0.37,85.01,73.4,6.65,-0.92,0.28,-0.0
4,1.2,0.61,0.51,0.47,-0.37,85.01,73.4,6.65,-0.92,0.28,-0.0
4,1.225,0.61,0.51,0.47,-0.37,84.88,73.4,6.63,-0.9,0.3,-0.02
4,1.25,0.61,0.51,0.47,-0.37,84.68,73.41,6.62,-0.94,0.29,-0.03
4,1.275,0.61,0.51,0.47,-0.37,84.12,73.42,6.28,-0.97,0.3,-0.02
4,1.3,0.62,0.51,0.47,-0.37,82.63,73.46,5.25,-0.95,0.25,0.04
4,1.325,0.62,0.51,0.47,-0.37,82.63,73.46,5.25,-0.95,0.25,0.04
4,1.35,0.62,0.5,0.47,-0.36,80.33,73.42,3.62,-1.09,0.18,0.17
4,1.375,0.63,0.49,0.47,-0.36,77.31,73.27,1.19,-1.07,0.2,0.21
4,1.4,0.63,0.49,0.47,-0.36,73.98,72.95,358.39,-1.16,0.27,0.29
4,1.425,0.64,0.48,0.46,-0.36,69.64,72.37,354.88,-1.17,0.29,0.38
4,1.45,0.66,0.47,0.46,-0.36,63.95,71.54,350.44,-1.15,0.16,0.43
4,1.475,0.66,0.47,0.46,-0.36,63.95,71.54,350.44,-1.15,0.16,0.43
4,1.5,0.67,0.45,0.45,-0.36,57.44,70.31,345.21,-1.14,0.21,0.59
4,1.525,0.69,0.43,0.44,-0.37,50.33,68.75,339.39,-1.17,0.2,0.7
4,1.55,0.7,0.42,0.43,-0.37,45.59,67.55,335.51,-1.22,0.05,0.66
4,1.575,0.72,0.4,0.42,-0.38,38.51,65.41,329.89,-1.26,0.28,0.56
4,1.6,0.74,0.37,0.4,-0.38,31.38,62.44,324.18,-1.18,0.24,0.87
4,1.625,0.75,0.35,0.39,-0.39,27.27,60.24,320.74,-1.16,0.25,0.66
4,1.65,0.77,0.31,0.36,-0.41,19.43,55.12,314.25,-1.2,0.13,0.83
4,1.675,0.79,0.28,0.34,-0.42,14.2,50.82,310.27,-1.15,0.13,0.91
4,1.7,0.79,0.26,0.32,-0.43,11.82,47.89,308.1,-1.06,0.21,0.81
4,1.725,0.79,0.26,0.32,-0.43,11.82,47.89,308.1,-1.06,0.21,0.81
4,1.75,0.81,0.23,0.29,-0.45,8.44,43.28,305.32,-1.12,0.24,0.86
4,1.775,0.82,0.19,0.27,-0.46,5.06,38.4,303.22,-0.94,0.02,0.71
4,1.8,0.83,0.16,0.24,-0.47,2.95,33.15,301.61,-0.79,0.15,0.8
4,1.825,0.83,0.14,0.22,-0.48,1.3,29.62,300.57,-0.69,0.15,0.89
4,1.85,0.84,0.1,0.19,-0.49,358.75,24.5,298.91,-0.59,0.1,0.87
4,1.875,0.84,0.06,0.16,-0.5,356.76,19.52,297.45,-0.61,0.08,0.7
4,1.9,0.84,0.03,0.13,-0.52,355.06,14.42,296.21,-0.46,0.32,0.93
4,1.925,0.84,-0.0,0.1,-0.53,353.26,9.57,295.03,-0.38,-0.02,0.76
4,1.95,0.83,-0.03,0.08,-0.54,352.4,6.4,294.21,-0.29,0.16,0.71
4,1.975,0.83,-0.03,0.08,-0.54,352.4,6.4,294.21,-0.29,0.16,0.71
4,2.0,0.83,-0.05,0.06,-0.54,351.5,3.38,293.46,-0.24,0.06,0.76
4,2.025,0.82,-0.08,0.03,-0.55,349.86,-2.32,292.13,-0.15,-0.07,0.51
4,2.05,0.81,-0.11,0.01,-0.56,348.9,-6.49,291.38,-0.09,0.05,0.59
4,2.075,0.81,-0.14,-0.01,-0.57,347.7,-10.37,290.95,0.02,-0.06,0.57
4,2.1,0.8,-0.16,-0.04,-0.57,347.06,-14.09,290.96,0.06,-0.17,0.35
4,2.125,0.8,-0.16,-0.04,-0.57,347.06,-14.09,290.96,0.06,-0.17,0.35
4,2.15,0.8,-0.18,-0.06,-0.57,346.73,-17.2,291.24,0.14,-0.03,0.28
4,2.175,0.8,-0.19,-0.07,-0.56,346.49,-18.94,291.53,0.28,-0.21,0.34
4,2.2,0.79,-0.2,-0.09,-0.56,346.62,-21.67,292.19,0.33,0.03,0.39
4,2.225,0.79,-0.2,-0.1,-0.56,346.71,-22.79,292.58,0.42,-0.06,0.37
4,2.25,0.8,-0.2,-0.11,-0.56,347.06,-23.36,292.89,0.52,-0.19,0.3
4,2.275,0.8,-0.2,-0.11,-0.56,347.06,-23.36,292.89,0.52,-0.19,0.3
4,2.3,0.8,-0.2,-0.11,-0.55,347.78,-23.5,293.03,0.47,-0.16,0.4
4,2.325,0.8,-0.2,-0.11,-0.55,347.83,-23.26,293.25,0.42,-0.19,0.63
4,2.35,0.8,-0.19,-0.11,-0.55,347.86,-22.79,293.59,0.48,-0.16,0.57
4,2.375,0.8,-0.19,-0.1,-0.55,348.28,-22.0,293.66,0.41,-0.09,0.5
4,2.4,0.81,-0.18,-0.1,-0.55,348.4,-20.93,293.59,0.35,-0.19,0.54
4,2.425,0.81,-0.18,-0.1,-0.55,348.4,-20.93,293.59,0.46,-0.08,0.62
4,2.45,0.81,-0.17,-0.09,-0.55,348.69,-19.69,293.46,0.46,-0.08,0.62
4,2.475,0.81,-0.17,-0.08,-0.55,348.78,-18.0,293.29,0.25,-0.09,0.35
4,2.5,0.81,-0.15,-0.06,-0.55,349.29,-15.91,293.08,0.25,-0.12,0.55
4,2.525,0.82,-0.14,-0.05,-0.55,349.92,-13.16,292.84,0.16,-0.12,0.59
4,2.55,0.82,-0.11,-0.03,-0.56,350.71,-9.9,292.44,0.08,-0.06,0.36
4,2.575,0.82,-0.1,-0.01,-0.56,351.61,-7.54,292.18,0.05,-0.01,0.5
4,2.6,0.82,-0.08,0.0,-0.56,352.29,-4.93,292.06,-0.13,-0.04,0.64
