rep_id,timestamp,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az
5,0.0,0.63,0.47,0.51,-0.34,82.41,75.4,11.84,-0.93,0.24,0.02
5,0.025,0.63,0.47,0.51,-0.34,82.43,75.39,11.85,-0.92,0.24,0.02
5,0.05,0.63,0.47,0.51,-0.34,82.39,75.4,11.83,-0.94,0.23,0.0
5,0.075,0.63,0.47,0.51,-0.34,82.36,75.4,11.78,-0.94,0.24,0.02
5,0.1,0.63,0.47,0.51,-0.34,82.36,75.4,11.78,-0.94,0.24,0.02
5,0.125,0.63,0.47,0.51,-0.34,82.34,75.39,11.68,-0.92,0.23,0.02
5,0.15,0.63,0.47,0.51,-0.34,82.32,75.37,11.59,-0.93,0.26,0.01
5,0.175,0.63,0.47,0.51,-0.34,82.29,75.35,11.5,-0.93,0.26,0.0
5,0.2,0.63,0.47,0.51,-0.34,82.22,75.34,11.4,-0.91,0.24,0.02
5,0.225,0.63,0.47,0.51,-0.34,82.2,75.35,11.34,-0.92,0.23,0.01
5,0.25,0.63,0.47,0.51,-0.34,82.2,75.35,11.34,-0.92,0.25,0.01
5,0.275,0.63,0.47,0.51,-0.34,82.2,75.34,11.23,-0.95,0.25,0.01
5,0.3,0.63,0.47,0.5,-0.34,82.1,75.32,11.04,-0.93,0.25,0.02
5,0.325,0.63,0.47,0.5,-0.34,82.03,75.3,10.92,-0.93,0.25,0.0
5,0.35,0.63,0.47,0.5,-0.34,82.03,75.3,10.89,-0.94,0.24,0.0
5,0.375,0.63,0.47,0.5,-0.34,82.0,75.29,10.81,-0.93,0.27,0.0
5,0.4,0.63,0.47,0.5,-0.34,81.99,75.29,10.77,-0.92,0.24,0.02
5,0.425,0.63,0.47,0.5,-0.34,81.94,75.28,10.7,-0.94,0.23,0.0
5,0.45,0.63,0.47,0.5,-0.34,81.89,75.29,10.59,-0.93,0.25,0.02
5,0.475,0.63,0.47,0.5,-0.34,81.89,75.29,10.59,-0.93,0.25,0.02
5,0.5,0.63,0.47,0.5,-0.34,81.84,75.31,10.53,-0.92,0.25,0.02
5,0.525,0.63,0.47,0.5,-0.34,81.82,75.32,10.5,-0.93,0.24,0.01
5,0.55,0.63,0.47,0.5,-0.34,81.75,75.31,10.38,-0.94,0.24,0.02
5,0.575,0.63,0.47,0.5,-0.34,81.69,75.3,10.22,-0.93,0.25,0.03
5,0.6,0.63,0.47,0.5,-0.34,81.68,75.3,10.11,-0.92,0.23,0.02
5,0.625,0.63,0.47,0.5,-0.34,81.76,75.32,10.1,-0.93,0.22,0.0
5,0.65,0.63,0.47,0.5,-0.34,81.76,75.32,10.1,-0.93,0.22,0.0
5,0.675,0.63,0.47,0.5,-0.34,81.8,75.32,9.97,-0.93,0.25,0.0
5,0.7,0.63,0.47,0.5,-0.34,81.78,75.31,9.82,-0.93,0.26,0.02
5,0.725,0.63,0.47,0.5,-0.35,81.81,75.31,9.71,-0.93,0.24,0.0
5,0.75,0.63,0.47,0.5,-0.35,81.89,75.31,9.63,-0.91,0.24,0.02
5,0.775,0.62,0.48,0.5,-0.35,81.94,75.31,9.58,-0.94,0.25,0.01
5,0.8,0.62,0.48,0.5,-0.35,82.03,75.31,9.52,-0.92,0.23,0.02
5,0.825,0.62,0.48,0.5,-0.35,82.18,75.32,9.48,-0.95,0.24,0.0
5,0.85,0.62,0.48,0.5,-0.35,82.21,75.32,9.36,-0.94,0.25,0.01
5,0.875,0.62,0.48,0.5,-0.35,82.24,75.31,9.31,-0.93,0.24,0.02
5,0.9,0.62,0.48,0.5,-0.35,82.33,75.32,9.28,-0.92,0.25,0.0
5,0.925,0.62,0.48,0.5,-0.35,82.33,75.32,9.28,-0.92,0.25,0.0
5,0.95,0.62,0.48,0.5,-0.35,82.39,75.31,9.24,-0.93,0.25,0.01
5,0.975,0.62,0.48,0.5,-0.35,82.41,75.31,9.24,-0.94,0.24,0.02
5,1.0,0.62,0.48,0.5,-0.35,82.42,75.32,9.24,-0.94,0.23,0.02
5,1.025,0.62,0.48,0.5,-0.35,82.45,75.33,9.26,-0.93,0.26,0.01
5,1.05,0.62,0.48,0.5,-0.35,82.46,75.34,9.31,-0.93,0.26,0.01
5,1.075,0.62,0.48,0.5,-0.35,82.46,75.34,9.31,-0.93,0.26,0.01
5,1.1,0.62,0.48,0.5,-0.35,82.39,75.34,9.3,-0.92,0.24,0.01
5,1.125,0.62,0.48,0.5,-0.35,82.26,75.35,9.27,-0.93,0.25,-0.0
5,1.15,0.62,0.48,0.5,-0.35,82.03,75.33,9.16,-0.94,0.25,0.02
5,1.175,0.62,0.48,0.5,-0.35,81.87,75.32,9.23,-1.01,0.27,0.08
5,1.2,0.63,0.47,0.5,-0.35,81.37,75.34,9.16,-1.0,0.23,-0.07
5,1.225,0.63,0.47,0.5,-0.35,81.37,75.34,9.16,-1.0,0.23,-0.07
5,1.25,0.63,0.47,0.5,-0.35,79.96,75.27,8.15,-0.98,0.13,0.2
5,1.275,0.63,0.47,0.5,-0.35,78.42,75.05,6.85,-1.02,0.29,0.25
5,1.3,0.64,0.47,0.5,-0.34,76.73,74.78,5.42,-1.01,0.21,0.17
5,1.325,0.64,0.46,0.49,-0.34,73.86,74.46,3.09,-1.08,0.24,0.16
5,1.35,0.64,0.46,0.49,-0.34,73.86,74.46,3.09,-1.08,0.24,0.16
5,1.375,0.65,0.45,0.49,-0.34,68.74,73.99,359.16,-1.2,0.08,0.43
5,1.4,0.67,0.44,0.48,-0.34,62.42,73.04,354.36,-1.16,0.13,0.48
5,1.425,0.68,0.43,0.47,-0.34,56.33,71.74,349.13,-1.21,0.24,0.54
5,1.45,0.7,0.41,0.46,-0.34,49.04,70.06,343.06,-1.25,0.04,0.55
5,1.475,0.71,0.4,0.45,-0.35,43.94,68.6,338.77,-1.28,0.31,0.86
5,1.5,0.73,0.37,0.43,-0.36,34.26,65.25,330.57,-1.34,0.31,0.58
5,1.525,0.75,0.35,0.42,-0.36,29.14,62.91,326.32,-1.26,0.26,0.56
5,1.55,0.75,0.35,0.42,-0.36,29.14,62.91,326.32,-1.26,0.26,0.56
5,1.575,0.77,0.32,0.39,-0.37,22.68,58.38,321.02,-1.28,0.21,0.94
5,1.6,0.79,0.29,0.36,-0.39,17.39,53.31,316.55,-1.25,0.15,0.72
5,1.625,0.81,0.25,0.33,-0.4,12.32,47.89,312.93,-1.27,0.02,0.84
5,1.65,0.83,0.21,0.29,-0.41,8.88,42.12,310.53,-1.04,0.15,1.02
5,1.675,0.83,0.21,0.29,-0.41,8.88,42.12,310.53,-1.04,0.15,1.02
5,1.7,0.85,0.17,0.24,-0.43,5.37,34.44,308.1,-1.02,0.11,0.82
5,1.725,0.85,0.14,0.22,-0.43,3.53,30.56,307.13,-0.87,0.38,0.83
5,1.75,0.86,0.11,0.18,-0.44,1.41,24.68,305.83,-0.64,-0.09,0.66
5,1.775,0.87,0.07,0.15,-0.46,359.26,18.96,304.49,-0.58,-0.05,0.85
5,1.8,0.87,0.03,0.12,-0.47,356.94,13.66,303.11,-0.43,0.02,0.92
5,1.825,0.87,-0.0,0.08,-0.48,355.24,8.5,301.69,-0.38,-0.07,0.63
5,1.85,0.87,-0.0,0.08,-0.48,355.24,8.5,301.69,-0.38,-0.07,0.63
5,1.875,0.86,-0.03,0.05,-0.5,354.18,3.55,300.02,-0.25,0.36,0.64
5,1.9,0.85,-0.06,0.03,-0.51,352.63,-0.83,298.25,-0.27,0.02,0.6
5,1.925,0.84,-0.09,0.0,-0.53,351.29,-5.13,296.4,-0.18,0.27,0.7
5,1.95,0.83,-0.12,-0.02,-0.54,350.12,-9.26,294.58,-0.09,0.04,0.52
5,1.975,0.82,-0.14,-0.04,-0.55,348.93,-12.96,293.31,-0.08,-0.05,0.22
5,2.0,0.81,-0.17,-0.06,-0.56,347.74,-16.6,292.71,0.11,-0.02,0.53
5,2.025,0.81,-0.17,-0.06,-0.56,347.74,-16.6,292.71,0.11,-0.02,0.53
5,2.05,0.8,-0.19,-0.07,-0.56,346.33,-19.51,292.66,0.11,-0.03,0.39
5,2.075,0.8,-0.21,-0.09,-0.56,345.58,-21.95,293.03,0.29,-0.18,0.28
5,2.1,0.79,-0.21,-0.1,-0.55,345.22,-23.17,293.35,0.34,-0.12,0.22
5,2.125,0.79,-0.22,-0.11,-0.55,344.96,-24.47,293.9,0.46,-0.03,0.33
5,2.15,0.8,-0.23,-0.11,-0.55,344.56,-25.13,294.59,0.46,-0.15,0.44
5,2.175,0.8,-0.22,-0.11,-0.54,344.73,-25.26,295.14,0.53,0.07,0.37
5,2.2,0.8,-0.22,-0.11,-0.54,344.77,-24.88,295.57,0.5,-0.16,0.49
5,2.225,0.8,-0.22,-0.11,-0.54,344.77,-24.88,295.57,0.5,-0.16,0.49
5,2.25,0.8,-0.22,-0.11,-0.54,344.97,-24.14,295.89,0.48,-0.12,0.49
5,2.275,0.81,-0.21,-0.1,-0.53,345.12,-23.15,296.15,0.45,-0.12,0.55
5,2.3,0.81,-0.21,-0.09,-0.53,345.16,-21.8,296.25,0.4,-0.25,0.53
5,2.325,0.82,-0.19,-0.08,-0.53,345.82,-20.25,296.27,0.48,-0.14,0.53
5,2.35,0.82,-0.18,-0.07,-0.53,346.46,-18.01,296.16,0.3,-0.19,0.45
5,2.375,0.82,-0.16,-0.05,-0.53,347.29,-15.3,295.88,0.2,-0.09,0.32
5,2.4,0.82,-0.16,-0.05,-0.53,347.29,-15.3,295.88,0.2,-0.09,0.32
