rep_id,timestamp,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az
1,0.0,0.16,0.71,-0.2,-0.69,94.5,61.05,271.58,-0.84,0.51,0.01
1,0.025,0.16,0.71,-0.2,-0.69,94.5,61.05,271.58,-0.84,0.51,0.01
1,0.05,0.16,0.71,-0.2,-0.69,94.55,61.06,271.55,-0.85,0.51,-0.0
1,0.075,0.16,0.71,-0.2,-0.69,94.62,61.08,271.5,-0.86,0.52,0.01
1,0.1,0.16,0.71,-0.2,-0.69,94.68,61.09,271.48,-0.86,0.51,0.0
1,0.125,0.16,0.71,-0.2,-0.69,94.72,61.1,271.47,-0.85,0.52,0.01
1,0.15,0.16,0.71,-0.2,-0.69,94.78,61.11,271.45,-0.84,0.51,0.0
1,0.175,0.16,0.71,-0.2,-0.69,94.83,61.11,271.43,-0.85,0.51,0.0
1,0.2,0.16,0.71,-0.2,-0.69,94.83,61.12,271.39,-0.85,0.52,0.0
1,0.225,0.16,0.71,-0.2,-0.69,94.85,61.13,271.36,-0.85,0.52,0.0
1,0.25,0.16,0.71,-0.2,-0.69,94.86,61.14,271.31,-0.85,0.51,0.0
1,0.275,0.16,0.71,-0.2,-0.69,94.86,61.14,271.31,-0.85,0.51,0.0
1,0.3,0.16,0.71,-0.2,-0.69,94.88,61.16,271.28,-0.85,0.51,0.01
1,0.325,0.16,0.71,-0.2,-0.69,94.92,61.16,271.27,-0.85,0.52,-0.01
1,0.35,0.16,0.71,-0.2,-0.69,94.94,61.16,271.26,-0.85,0.51,-0.01
1,0.375,0.16,0.71,-0.2,-0.69,94.97,61.16,271.23,-0.85,0.5,0.0
1,0.4,0.16,0.71,-0.2,-0.69,95.01,61.17,271.21,-0.85,0.5,0.0
1,0.425,0.16,0.71,-0.2,-0.69,95.08,61.16,271.23,-0.85,0.52,0.0
1,0.45,0.16,0.71,-0.2,-0.69,95.13,61.17,271.24,-0.85,0.51,-0.01
1,0.475,0.16,0.71,-0.2,-0.69,95.13,61.17,271.24,-0.85,0.52,-0.0
1,0.5,0.16,0.71,-0.2,-0.69,95.17,61.18,271.24,-0.85,0.52,-0.0
1,0.525,0.16,0.71,-0.2,-0.69,95.2,61.19,271.25,-0.85,0.51,0.0
1,0.55,0.16,0.71,-0.2,-0.69,95.22,61.19,271.27,-0.86,0.52,0.01
