rep_id,timestamp,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az
2,0.0,0.13,0.71,-0.21,-0.7,94.0,63.09,268.08,-0.86,0.47,0.01
2,0.025,0.13,0.71,-0.21,-0.7,94.0,63.09,268.08,-0.86,0.47,0.01
2,0.05,0.13,0.71,-0.21,-0.7,94.0,63.09,268.08,-0.86,0.47,0.01
2,0.075,0.13,0.71,-0.21,-0.7,94.0,63.09,268.08,-0.86,0.48,0.01
2,0.1,0.13,0.71,-0.21,-0.7,94.0,63.09,268.08,-0.86,0.48,0.02
2,0.125,0.13,0.71,-0.21,-0.7,94.01,63.09,268.09,-0.86,0.47,0.01
2,0.15,0.13,0.71,-0.21,-0.7,94.01,63.09,268.09,-0.86,0.47,0.02
2,0.175,0.13,0.71,-0.21,-0.7,94.08,63.09,268.12,-0.86,0.47,0.01
2,0.2,0.13,0.71,-0.21,-0.7,94.18,63.09,268.17,-0.87,0.49,0.01
2,0.225,0.13,0.71,-0.21,-0.7,94.21,63.11,268.18,-0.86,0.49,0.02
2,0.25,0.13,0.71,-0.21,-0.7,94.21,63.13,268.16,-0.87,0.48,0.02
2,0.275,0.13,0.71,-0.21,-0.7,94.22,63.14,268.17,-0.86,0.48,0.02
2,0.3,0.13,0.71,-0.21,-0.7,94.22,63.14,268.17,-0.86,0.48,0.02
2,0.325,0.13,0.71,-0.21,-0.7,94.28,63.17,268.18,-0.86,0.47,0.01
2,0.35,0.13,0.71,-0.21,-0.7,94.31,63.16,268.17,-0.87,0.5,0.02
2,0.375,0.13,0.71,-0.21,-0.7,94.33,63.19,268.13,-0.86,0.48,0.01
2,0.4,0.13,0.71,-0.21,-0.7,94.34,63.2,268.08,-0.86,0.48,0.01
2,0.425,0.13,0.71,-0.21,-0.7,94.37,63.19,268.07,-0.86,0.49,0.01
2,0.45,0.13,0.71,-0.21,-0.7,94.37,63.19,268.07,-0.86,0.49,0.01
2,0.475,0.13,0.71,-0.21,-0.7,94.37,63.18,268.04,-0.86,0.49,0.01
2,0.5,0.13,0.71,-0.21,-0.7,94.36,63.17,268.04,-0.86,0.48,0.01
2,0.525,0.13,0.71,-0.21,-0.7,94.34,63.17,268.04,-0.86,0.48,0.01
2,0.55,0.13,0.71,-0.21,-0.7,94.3,63.16,268.03,-0.86,0.48,0.01
2,0.575,0.13,0.71,-0.21,-0.7,94.29,63.15,268.04,-0.86,0.48,0.01
2,0.6,0.13,0.71,-0.21,-0.7,94.27,63.14,268.06,-0.86,0.48,0.0
2,0.625,0.13,0.71,-0.21,-0.7,94.25,63.14,268.08,-0.86,0.48,0.01
2,0.65,0.13,0.71,-0.21,-0.7,94.23,63.13,268.08,-0.86,0.48,0.01
2,0.675,0.13,0.71,-0.21,-0.7,94.21,63.13,268.1,-0.86,0.48,0.0
2,0.7,0.13,0.71,-0.21,-0.7,94.18,63.14,268.11,-0.86,0.47,0.01
2,0.725,0.13,0.71,-0.21,-0.7,94.18,63.14,268.11,-0.86,0.47,0.01
2,0.75,0.13,0.71,-0.21,-0.7,94.16,63.14,268.09,-0.86,0.47,0.01
2,0.775,0.13,0.71,-0.21,-0.7,94.17,63.13,268.14,-0.86,0.49,0.01
2,0.8,0.13,0.71,-0.21,-0.7,94.19,63.13,268.2,-0.86,0.47,0.0
2,0.825,0.13,0.71,-0.21,-0.7,94.21,63.12,268.26,-0.86,0.48,0.01
2,0.85,0.13,0.71,-0.21,-0.7,94.21,63.11,268.28,-0.86,0.49,0.02
2,0.875,0.13,0.71,-0.21,-0.7,94.25,63.1,268.37,-0.86,0.47,0.0
2,0.9,0.13,0.71,-0.21,-0.7,94.25,63.1,268.37,-0.86,0.47,0.0
2,0.925,0.13,0.71,-0.21,-0.7,94.27,63.1,268.39,-0.85,0.48,0.01
