rep_id,timestamp,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az
6,0.0,0.14,0.72,-0.22,-0.69,97.7,61.31,271.48,-0.85,0.5,-0.03
6,0.025,0.14,0.72,-0.22,-0.69,97.73,61.32,271.49,-0.85,0.5,-0.03
6,0.05,0.14,0.72,-0.22,-0.69,97.78,61.33,271.49,-0.85,0.51,-0.02
6,0.075,0.14,0.72,-0.22,-0.69,97.85,61.33,271.53,-0.86,0.51,-0.04
6,0.1,0.14,0.72,-0.22,-0.69,97.91,61.33,271.53,-0.86,0.52,-0.04
6,0.125,0.14,0.72,-0.22,-0.69,98.1,61.27,271.63,-0.86,0.52,-0.02
6,0.15,0.14,0.72,-0.22,-0.69,98.39,61.17,271.87,-0.85,0.52,-0.05
6,0.175,0.14,0.72,-0.22,-0.69,98.52,61.1,271.93,-0.84,0.53,-0.04
6,0.2,0.14,0.72,-0.22,-0.69,98.53,61.07,271.91,-0.84,0.52,-0.05
6,0.225,0.14,0.72,-0.22,-0.69,98.54,61.05,271.87,-0.84,0.52,-0.02
6,0.25,0.14,0.72,-0.22,-0.69,98.54,61.05,271.87,-0.86,0.52,-0.03
6,0.275,0.14,0.72,-0.22,-0.69,98.58,61.01,271.93,-0.86,0.52,-0.03
6,0.3,0.14,0.72,-0.22,-0.69,98.67,60.94,272.06,-0.84,0.51,-0.04
6,0.325,0.14,0.72,-0.22,-0.69,98.73,60.9,272.15,-0.85,0.52,-0.05
6,0.35,0.14,0.72,-0.22,-0.69,98.71,60.85,272.21,-0.84,0.52,-0.04
6,0.375,0.14,0.72,-0.22,-0.69,98.66,60.83,272.28,-0.84,0.51,-0.03
6,0.4,0.14,0.72,-0.22,-0.69,98.61,60.82,272.37,-0.86,0.52,-0.03
6,0.425,0.14,0.72,-0.22,-0.69,98.58,60.81,272.44,-0.85,0.51,-0.04
6,0.45,0.15,0.72,-0.22,-0.69,98.53,60.81,272.54,-0.84,0.52,-0.04
6,0.475,0.15,0.72,-0.22,-0.69,98.49,60.81,272.6,-0.85,0.49,-0.07
6,0.5,0.15,0.72,-0.22,-0.68,98.6,60.76,272.62,-0.82,0.54,-0.03
6,0.525,0.15,0.72,-0.22,-0.68,98.8,60.69,272.69,-0.84,0.55,-0.02
6,0.55,0.15,0.72,-0.22,-0.68,99.26,60.47,272.96,-0.85,0.55,-0.07
6,0.575,0.15,0.72,-0.22,-0.68,99.26,60.47,272.96,-0.85,0.55,-0.07
6,0.6,0.15,0.72,-0.23,-0.68,99.97,60.09,273.3,-0.85,0.59,-0.07
6,0.625,0.15,0.73,-0.23,-0.68,100.97,59.32,273.79,-0.82,0.68,-0.16
6,0.65,0.15,0.73,-0.24,-0.67,102.15,58.27,274.47,-0.82,0.7,-0.22
6,0.675,0.15,0.73,-0.26,-0.66,103.67,56.83,275.43,-0.83,0.7,-0.23
6,0.7,0.16,0.74,-0.27,-0.65,105.63,54.87,276.76,-0.86,0.73,-0.23
6,0.725,0.16,0.74,-0.27,-0.65,105.63,54.87,276.76,-0.86,0.73,-0.23
6,0.75,0.17,0.74,-0.29,-0.63,107.97,52.35,278.4,-0.83,0.79,-0.33
6,0.775,0.18,0.75,-0.31,-0.62,110.41,49.49,280.06,-0.79,0.86,-0.39
6,0.8,0.2,0.76,-0.33,-0.59,112.7,46.26,281.68,-0.72,0.88,-0.41
6,0.825,0.2,0.76,-0.34,-0.58,114.13,43.94,282.75,-0.68,0.89,-0.37
6,0.85,0.22,0.77,-0.36,-0.55,116.09,40.31,284.34,-0.67,0.89,-0.39
6,0.875,0.23,0.77,-0.37,-0.54,117.3,37.72,285.4,-0.66,0.93,-0.46
6,0.9,0.25,0.78,-0.39,-0.51,118.89,33.63,286.93,-0.63,0.94,-0.48
6,0.925,0.27,0.78,-0.4,-0.48,120.23,29.35,288.34,-0.6,0.94,-0.57
6,0.95,0.29,0.78,-0.41,-0.46,121.02,26.47,289.21,-0.54,0.96,-0.51
6,0.975,0.29,0.78,-0.41,-0.46,121.02,26.47,289.21,-0.54,0.96,-0.51
6,1.0,0.31,0.79,-0.44,-0.41,122.4,20.42,290.92,-0.47,0.98,-0.62
6,1.025,0.34,0.79,-0.45,-0.38,123.35,15.75,292.11,-0.4,0.98,-0.57
6,1.05,0.35,0.79,-0.46,-0.35,123.87,12.55,292.88,-0.36,0.94,-0.6
6,1.075,0.37,0.79,-0.47,-0.32,124.65,7.75,293.9,-0.25,0.99,-0.6
6,1.1,0.39,0.79,-0.49,-0.28,125.24,2.94,294.89,-0.18,0.91,-0.58
6,1.125,0.41,0.78,-0.5,-0.24,125.67,-1.81,295.81,-0.14,0.91,-0.58
6,1.15,0.42,0.78,-0.51,-0.22,125.89,-4.93,296.38,-0.07,0.89,-0.58
6,1.175,0.44,0.77,-0.52,-0.18,126.09,-9.51,297.18,-0.01,0.87,-0.55
6,1.2,0.46,0.76,-0.52,-0.14,126.17,-13.93,297.9,0.04,0.89,-0.6
6,1.225,0.47,0.75,-0.53,-0.12,126.27,-16.77,298.34,0.12,0.91,-0.57
6,1.25,0.48,0.74,-0.54,-0.09,126.29,-20.98,298.98,0.18,0.78,-0.53
6,1.275,0.48,0.74,-0.54,-0.09,126.29,-20.98,298.98,0.18,0.78,-0.53
6,1.3,0.5,0.73,-0.54,-0.06,126.43,-24.99,299.57,0.27,0.85,-0.52
6,1.325,0.5,0.73,-0.55,-0.04,126.59,-27.59,299.94,0.35,0.84,-0.42
6,1.35,0.52,0.71,-0.56,0.01,126.87,-32.74,300.73,0.39,0.73,-0.43
